product_category,product_subcategory,selling_price,cost_price,discount_percent,advertising_cost,shipping_cost,return_rate,product_rating,season,marketing_channel,competition_level,platform,region,state,city,payment_method,demand,revenue,profit
Home & Kitchen,Cookware,4760.0,2637.15,38.85,1237.3,167.13,6.25,3.67,Diwali,Affiliate,Medium,Amazon,West,Maharashtra,Mumbai,UPI,1060,3085384.4,62396.32
Books,Non-Fiction,232.0,110.28,52.78,31130.18,212.75,5.15,2.88,Republic Day,Affiliate,Medium,Flipkart,South,Karnataka,Bengaluru,Credit Card,1951,213732.83,-461087.2
Sports & Fitness,Supplements,2145.79,1156.75,20.15,25537.37,247.65,13.39,2.81,Diwali,Email Marketing,Medium,Snapdeal,East,West Bengal,Kolkata,UPI,1264,2165754.43,295153.26
Automotive,Cleaning Care,5441.29,2515.81,25.3,26689.35,150.44,11.61,3.52,Regular Season,Email Marketing,Medium,Amazon,Central,Rajasthan,Jaipur,Debit Card,672,2731440.52,858092.19
Toys & Games,Educational Toys,688.1,404.94,25.74,5522.02,231.85,10.51,3.8,Navratri,Influencer,Medium,Amazon,Central,Rajasthan,Jaipur,UPI,1702,869693.17,-258491.05
Home & Kitchen,Home Decor,2732.0,1585.53,41.63,3708.16,196.94,4.97,3.53,Diwali,Search Ads,High,Snapdeal,East,West Bengal,Kolkata,Credit Card,1331,2122503.64,-286406.93
Fashion,Footwear,1781.55,878.52,12.28,17801.06,82.49,22.57,2.98,Diwali,Email Marketing,Medium,Snapdeal,South,Karnataka,Bengaluru,Credit Card,1101,1720616.0,579916.61
Toys & Games,Board Games,5838.96,2981.43,21.16,12742.55,272.21,3.33,2.89,Navratri,Email Marketing,Medium,Meesho,North,Delhi,New Delhi,UPI,613,2821906.31,796689.23
Electronics,Accessories,4573.67,3563.06,25.27,10505.56,87.76,3.12,3.03,Diwali,Search Ads,High,Myntra,Central,Rajasthan,Jaipur,UPI,879,3004337.26,-240871.53
Books,Children Books,824.63,477.88,15.38,29958.72,135.38,2.25,3.37,Regular Season,Organic Search,High,Snapdeal,East,West Bengal,Kolkata,UPI,707,493345.95,26835.16
Automotive,Car Electronics,4440.85,2429.67,34.29,21186.44,224.75,9.95,4.45,Diwali,Influencer,Low,Amazon,North,Delhi,New Delhi,UPI,3047,8891397.48,563969.13
Home & Kitchen,Cookware,7205.06,4121.67,10.98,38733.34,300.74,13.16,3.82,Christmas,Influencer,Medium,Myntra,Central,Rajasthan,Jaipur,Net Banking,990,6349804.97,1779048.01
Toys & Games,Board Games,947.46,606.74,28.2,23312.58,78.26,7.27,4.23,Raksha Bandhan,Organic Search,High,Amazon,North,Delhi,New Delhi,Credit Card,1724,1172796.31,-55372.03
Automotive,Helmets,1928.18,1094.42,40.67,20754.57,349.32,7.66,3.2,Raksha Bandhan,Social Media,Low,Flipkart,East,West Bengal,Kolkata,Credit Card,1552,1775471.23,-539259.0
Home & Kitchen,Bedding,7220.1,3463.84,33.14,27543.75,333.58,9.7,3.29,Dussehra,Email Marketing,High,Flipkart,North,Delhi,New Delhi,UPI,962,4643919.22,866887.4
Toys & Games,Puzzles,5935.96,3280.99,37.58,9963.08,206.84,10.46,4.73,Diwali,Email Marketing,High,Flipkart,Central,Rajasthan,Jaipur,Credit Card,1942,7195549.34,224592.86
Fashion,Watches,2880.94,1579.8,50.44,11941.45,328.16,26.51,3.85,Navratri,Email Marketing,Low,Flipkart,East,West Bengal,Kolkata,UPI,2406,3435272.04,-1523787.61
Electronics,Accessories,3554.98,2490.72,38.67,32014.75,227.61,11.42,3.77,Eid,Email Marketing,Medium,Amazon,West,Maharashtra,Mumbai,COD,1869,4074923.2,-1194845.53
Electronics,Headphones,14032.19,11555.03,47.1,38619.41,60.42,11.49,2.86,Diwali,Influencer,Low,Amazon,West,Maharashtra,Mumbai,UPI,1430,10614930.77,-6513388.93
Sports & Fitness,Gym Equipment,2826.24,1651.07,48.39,24660.7,198.58,4.02,4.2,Christmas,Social Media,High,Amazon,South,Karnataka,Bengaluru,UPI,1958,2855982.78,-830597.49
Toys & Games,Action Figures,4514.03,2145.74,19.81,28048.17,289.13,5.72,4.37,Raksha Bandhan,Search Ads,Low,Snapdeal,East,West Bengal,Kolkata,Credit Card,1887,6830563.84,2134411.29
Home & Kitchen,Kitchen Appliances,6447.08,3859.67,54.84,19368.56,112.56,12.12,4.86,Diwali,Influencer,Medium,Amazon,Central,Rajasthan,Jaipur,UPI,3973,11567394.78,-4725378.35
Electronics,Smartwatches,5510.43,4550.64,29.14,31557.88,313.31,5.82,3.45,Diwali,Influencer,High,Meesho,Central,Rajasthan,Jaipur,UPI,1438,5614945.22,-1519296.05
Books,Self-Help,1118.15,632.77,35.88,20628.32,232.61,4.57,4.32,Diwali,Influencer,Medium,Flipkart,East,West Bengal,Kolkata,UPI,4365,3129520.71,-723248.21
Electronics,Smartphones,18736.23,15749.53,25.9,18852.46,204.2,7.63,3.69,Diwali,Organic Search,Medium,Snapdeal,East,West Bengal,Kolkata,Credit Card,1299,18034726.81,-3108388.98
Beauty & Personal Care,Skincare,2064.78,766.84,49.13,955.72,257.56,6.83,4.64,Regular Season,Search Ads,Medium,Snapdeal,South,Karnataka,Bengaluru,Credit Card,1284,1348654.0,4262.6
Beauty & Personal Care,Skincare,538.18,260.79,22.58,30937.34,40.14,2.37,4.02,Regular Season,Affiliate,High,Flipkart,South,Karnataka,Bengaluru,Debit Card,1528,636654.88,142808.66
Electronics,Smartwatches,18763.25,14602.66,45.36,5042.37,172.15,3.26,4.89,Holi,Organic Search,High,Amazon,North,Delhi,New Delhi,Debit Card,856,8775917.27,-3980638.43
Toys & Games,Puzzles,2557.73,1378.66,36.63,31528.13,68.55,12.02,2.72,Dussehra,Social Media,High,Flipkart,North,Delhi,New Delhi,UPI,983,1593279.33,94369.51
Sports & Fitness,Supplements,4095.9,2210.5,20.99,31282.08,137.36,10.16,4.03,Regular Season,Organic Search,Low,Flipkart,South,Karnataka,Bengaluru,UPI,1050,3397979.12,835163.22
Electronics,Headphones,11346.88,7382.27,11.32,35982.52,99.42,11.53,2.54,Christmas,Email Marketing,Medium,Amazon,South,Karnataka,Bengaluru,UPI,424,4266463.19,965589.3
Fashion,Women's Ethnic Wear,2054.83,1097.27,12.37,5758.97,257.01,25.05,4.62,Independence Day,Search Ads,Medium,Amazon,Central,Rajasthan,Jaipur,UPI,1232,2218397.76,419848.36
Automotive,Cleaning Care,5459.83,2367.63,11.48,2092.39,276.87,3.39,4.01,Regular Season,Affiliate,High,Flipkart,East,West Bengal,Kolkata,UPI,389,1880053.15,839619.16
Home & Kitchen,Cookware,6796.74,3471.49,51.71,24181.36,139.41,11.27,3.25,Navratri,Influencer,High,Flipkart,North,Delhi,New Delhi,Credit Card,1256,4122375.06,-569811.92
Sports & Fitness,Sportswear,5143.9,2622.44,37.7,14115.52,101.24,13.93,3.71,Regular Season,Search Ads,Medium,Amazon,Central,Rajasthan,Jaipur,Net Banking,792,2538082.56,288897.23
Fashion,Watches,1397.15,659.16,6.39,23156.84,64.84,26.85,3.61,Holi,Search Ads,High,Flipkart,East,West Bengal,Kolkata,UPI,1069,1398115.29,544397.95
Sports & Fitness,Sportswear,887.58,378.56,26.41,19094.82,154.09,3.42,4.24,Regular Season,Affiliate,Medium,Snapdeal,North,Delhi,New Delhi,UPI,1566,1022864.41,160444.72
Fashion,Handbags,1841.76,649.66,23.95,29275.23,240.73,13.03,4.34,Regular Season,Search Ads,Medium,Flipkart,West,Maharashtra,Mumbai,UPI,1473,2063169.94,668075.74
Home & Kitchen,Cookware,2427.39,1335.12,33.01,30938.19,295.8,5.52,2.67,Regular Season,Organic Search,High,Flipkart,East,West Bengal,Kolkata,UPI,555,902490.25,-48365.29
Home & Kitchen,Storage,5188.9,3009.41,49.77,21529.16,333.6,8.94,4.52,Diwali,Social Media,Medium,Amazon,Central,Rajasthan,Jaipur,UPI,3715,9682718.31,-3063362.85
Beauty & Personal Care,Fragrances,1801.62,684.19,36.26,9007.21,327.3,7.73,3.46,Raksha Bandhan,Search Ads,High,Myntra,South,Karnataka,Bengaluru,UPI,1094,1256297.73,112416.36
Toys & Games,Action Figures,4410.77,2585.38,53.29,1413.31,128.13,9.41,4.19,Christmas,Search Ads,Medium,Flipkart,North,Delhi,New Delhi,UPI,1163,2396094.79,-838876.71
Fashion,Watches,1247.93,614.29,12.32,18041.43,195.86,15.57,3.0,Raksha Bandhan,Influencer,Medium,Amazon,South,Karnataka,Bengaluru,UPI,770,842522.47,170513.16
Automotive,Car Electronics,2440.02,1454.62,13.95,9324.64,274.56,4.24,3.95,Diwali,Influencer,Medium,Flipkart,West,Maharashtra,Mumbai,COD,1521,3193548.2,521835.28
Beauty & Personal Care,Makeup,1947.32,743.85,42.76,30066.55,183.68,4.32,2.56,Holi,Search Ads,High,Meesho,South,Karnataka,Bengaluru,UPI,975,1086779.82,140670.48
Fashion,Watches,3304.08,1593.81,53.89,28746.77,235.47,26.07,4.82,Christmas,Email Marketing,Medium,Amazon,Central,Rajasthan,Jaipur,UPI,3057,4657374.01,-1374862.46
Beauty & Personal Care,Haircare,2174.12,872.57,33.91,35054.45,312.57,5.34,2.68,Independence Day,Organic Search,Medium,Flipkart,East,West Bengal,Kolkata,UPI,803,1153811.35,151033.95
Home & Kitchen,Storage,4442.88,2762.55,35.16,38665.82,208.18,7.17,4.68,Dussehra,Email Marketing,Medium,Flipkart,East,West Bengal,Kolkata,Debit Card,2480,7144293.21,-403098.28
Sports & Fitness,Supplements,1943.73,1259.6,9.57,10924.71,228.72,8.99,4.82,Diwali,Influencer,High,Meesho,West,Maharashtra,Mumbai,UPI,1647,2894956.67,369210.41
Books,Self-Help,579.38,260.76,15.56,39703.92,158.96,1.73,3.78,Eid,Search Ads,Medium,Flipkart,North,Delhi,New Delhi,COD,1862,910943.41,85060.65
Beauty & Personal Care,Grooming,1349.16,517.07,21.63,5495.25,141.44,4.14,2.98,Regular Season,Influencer,High,Flipkart,Central,Rajasthan,Jaipur,Credit Card,412,435622.72,155410.2
Fashion,Men's Apparel,3415.41,1733.06,28.54,35477.62,285.24,23.97,2.95,Diwali,Search Ads,Low,Amazon,West,Maharashtra,Mumbai,Credit Card,1565,3819620.36,409471.21
Fashion,Footwear,3464.85,1650.66,41.09,13667.53,242.29,23.86,4.34,Holi,Organic Search,High,Amazon,Central,Rajasthan,Jaipur,UPI,1247,2545305.49,12302.58
Books,Fiction,1220.3,496.06,23.52,24865.99,338.9,3.56,2.88,Eid,Social Media,High,Flipkart,North,Delhi,New Delhi,UPI,1011,943551.58,63978.76
Toys & Games,Dolls,2322.41,1568.91,31.59,15703.9,228.92,13.17,2.99,Eid,Email Marketing,High,Myntra,West,Maharashtra,Mumbai,Credit Card,932,1480724.95,-272749.56
Automotive,Helmets,5839.13,4046.45,41.67,27017.39,303.98,3.95,4.33,Diwali,Email Marketing,Low,Meesho,East,West Bengal,Kolkata,Net Banking,3781,12877951.88,-3771824.79
Home & Kitchen,Home Decor,7882.58,4844.7,51.11,16566.97,305.78,5.03,3.72,Eid,Email Marketing,Medium,Flipkart,Central,Rajasthan,Jaipur,Credit Card,1351,5206474.83,-1861086.07
Fashion,Men's Apparel,1775.45,686.64,14.26,19980.56,77.91,17.42,4.7,Dussehra,Organic Search,Medium,Flipkart,West,Maharashtra,Mumbai,Credit Card,2007,3055197.56,1427130.06
Electronics,Headphones,1900.13,1390.53,21.44,3484.52,247.37,4.01,3.38,Raksha Bandhan,Influencer,Medium,Meesho,North,Delhi,New Delhi,UPI,687,1025513.84,-116192.16
Sports & Fitness,Cycles,5233.15,2655.52,35.46,15136.53,333.43,13.13,4.32,Raksha Bandhan,Social Media,High,Amazon,Central,Rajasthan,Jaipur,UPI,1118,3776017.06,297308.57
Beauty & Personal Care,Fragrances,2814.15,1241.95,37.28,4433.42,197.55,3.17,3.55,Diwali,Organic Search,High,Flipkart,East,West Bengal,Kolkata,UPI,1174,2072150.95,362513.5
Toys & Games,Dolls,2027.86,1104.69,30.07,35547.92,261.11,13.23,4.18,Raksha Bandhan,Influencer,Medium,Flipkart,Central,Rajasthan,Jaipur,UPI,2320,3289951.4,-39091.83
Automotive,Cleaning Care,2732.39,1351.69,41.39,20946.49,195.96,14.95,3.14,Christmas,Organic Search,High,Flipkart,North,Delhi,New Delhi,Net Banking,880,1409279.33,-30946.49
Books,Non-Fiction,715.29,421.1,52.66,16810.36,264.99,1.54,3.6,Regular Season,Affiliate,Medium,Amazon,West,Maharashtra,Mumbai,UPI,1891,640327.18,-680803.57
Sports & Fitness,Sportswear,826.9,548.3,31.47,38966.43,167.2,13.12,2.58,Christmas,Email Marketing,High,Flipkart,West,Maharashtra,Mumbai,UPI,981,555907.75,-213366.64
Home & Kitchen,Bedding,746.18,353.5,35.35,30641.67,88.96,10.5,3.44,Regular Season,Influencer,Medium,Amazon,South,Karnataka,Bengaluru,UPI,1211,584192.9,838.99
Toys & Games,Dolls,484.51,234.56,42.56,38146.42,259.47,11.19,4.43,Raksha Bandhan,Organic Search,High,Meesho,East,West Bengal,Kolkata,UPI,2666,741954.58,-669472.87
Automotive,Car Electronics,3884.46,2629.91,33.69,17723.71,131.43,9.68,2.65,Navratri,Email Marketing,Low,Flipkart,South,Karnataka,Bengaluru,Credit Card,1082,2786999.83,-294239.21
Beauty & Personal Care,Haircare,2955.75,904.84,8.39,34386.82,272.89,3.31,3.4,Navratri,Organic Search,Medium,Snapdeal,West,Maharashtra,Mumbai,UPI,1473,3988534.27,2201669.44
Beauty & Personal Care,Makeup,2814.65,946.17,17.83,597.4,196.56,3.87,4.08,Diwali,Affiliate,Medium,Flipkart,West,Maharashtra,Mumbai,UPI,1095,2532513.71,1266438.35
Books,Competitive Exams,298.35,157.58,51.01,2763.67,336.1,4.48,4.58,Independence Day,Organic Search,Medium,Amazon,Central,Rajasthan,Jaipur,Net Banking,1986,290277.07,-711392.04
Electronics,Accessories,8685.49,6448.22,16.83,35298.79,191.15,7.91,4.19,Regular Season,Search Ads,Medium,Snapdeal,West,Maharashtra,Mumbai,COD,976,7050352.7,403197.02
Books,Competitive Exams,649.32,378.68,36.75,3337.3,102.65,2.23,3.28,Navratri,Social Media,Low,Amazon,West,Maharashtra,Mumbai,UPI,1585,650951.42,-120454.2
Home & Kitchen,Storage,7649.17,4611.96,51.25,31729.39,339.53,6.69,2.6,Regular Season,Search Ads,Medium,Flipkart,Central,Rajasthan,Jaipur,Credit Card,522,1946522.54,-716077.62
Toys & Games,Board Games,4157.69,1701.21,8.81,39422.27,101.3,14.51,4.51,Diwali,Influencer,High,Amazon,East,West Bengal,Kolkata,Credit Card,1873,7101287.54,3556413.33
Toys & Games,Educational Toys,798.45,536.79,52.35,16828.04,158.49,10.48,3.48,Raksha Bandhan,Organic Search,Medium,Amazon,North,Delhi,New Delhi,COD,2318,881909.58,-798428.32
Fashion,Watches,752.63,391.96,41.19,36536.3,304.8,19.65,4.8,Raksha Bandhan,Email Marketing,Low,Meesho,South,Karnataka,Bengaluru,Net Banking,4333,1917879.84,-1350908.22
Electronics,Headphones,4542.19,3222.85,32.72,34708.05,278.39,6.44,3.09,Eid,Email Marketing,Medium,Meesho,East,West Bengal,Kolkata,Credit Card,1100,3361583.98,-591425.32
Electronics,Accessories,15372.3,11701.2,54.65,7784.88,218.23,9.09,2.79,Christmas,Affiliate,Low,Flipkart,Central,Rajasthan,Jaipur,UPI,702,4893879.31,-3674976.91
Toys & Games,Educational Toys,4682.55,2934.31,19.76,35779.97,81.2,7.98,3.11,Regular Season,Affiliate,Medium,Myntra,South,Karnataka,Bengaluru,UPI,614,2306968.77,381733.13
Toys & Games,Educational Toys,3436.69,2368.94,52.11,35611.05,349.34,3.85,3.97,Raksha Bandhan,Email Marketing,Medium,Flipkart,South,Karnataka,Bengaluru,UPI,1875,3085932.83,-2101814.17
Sports & Fitness,Cycles,1594.94,670.55,10.82,7911.83,277.11,10.67,3.25,Republic Day,Search Ads,Medium,Flipkart,Central,Rajasthan,Jaipur,UPI,660,938762.54,283832.42
Automotive,Cleaning Care,4158.29,2647.54,12.76,15952.44,134.09,3.06,3.17,Independence Day,Influencer,Low,Myntra,North,Delhi,New Delhi,COD,1007,3653086.04,813570.8
Sports & Fitness,Sportswear,4670.39,2761.92,9.46,21964.05,41.79,5.16,3.21,Raksha Bandhan,Social Media,Low,Meesho,West,Maharashtra,Mumbai,UPI,632,2672456.94,855349.38
Sports & Fitness,Gym Equipment,842.47,399.2,18.41,37945.92,89.01,4.26,2.89,Diwali,Organic Search,High,Amazon,South,Karnataka,Bengaluru,COD,1409,968506.12,234010.63
Electronics,Headphones,19056.33,14354.04,42.49,37142.23,85.08,7.7,4.63,Raksha Bandhan,Influencer,Medium,Flipkart,North,Delhi,New Delhi,COD,1677,18378738.36,-6341681.97
Fashion,Handbags,3158.37,1375.18,5.54,38932.57,165.58,25.97,4.71,Christmas,Influencer,Low,Flipkart,South,Karnataka,Bengaluru,UPI,1571,4686915.59,2053407.2
Beauty & Personal Care,Makeup,2353.1,856.66,37.8,30271.47,60.56,4.05,4.54,Navratri,Social Media,Medium,Amazon,East,West Bengal,Kolkata,UPI,3330,4873881.91,1756300.77
Sports & Fitness,Yoga Mats,3567.45,2026.86,50.37,35381.77,68.13,14.97,3.79,Regular Season,Search Ads,Medium,Amazon,South,Karnataka,Bengaluru,Credit Card,1498,2652247.1,-642699.93
Fashion,Handbags,3627.26,1397.59,20.29,29054.39,79.27,16.31,4.38,Regular Season,Affiliate,Medium,Meesho,West,Maharashtra,Mumbai,Net Banking,1279,3697958.56,1698846.14
Books,Self-Help,476.05,281.33,5.95,5743.54,65.67,4.71,3.87,Independence Day,Influencer,High,Snapdeal,West,Maharashtra,Mumbai,UPI,823,368477.7,73154.05
Home & Kitchen,Storage,2293.29,1103.7,12.88,4393.89,185.37,8.51,4.6,Holi,Search Ads,Medium,Snapdeal,North,Delhi,New Delhi,Credit Card,1205,2407486.67,811964.13
Sports & Fitness,Supplements,5923.64,2438.2,52.2,18455.07,228.7,3.52,4.58,Eid,Influencer,Medium,Meesho,Central,Rajasthan,Jaipur,COD,2396,6784273.81,314873.19
Books,Fiction,1075.34,559.85,41.47,16577.73,157.53,3.49,2.64,Diwali,Search Ads,Medium,Meesho,East,West Bengal,Kolkata,UPI,1767,1112143.62,-185533.12
Beauty & Personal Care,Grooming,1513.26,743.23,42.58,33404.51,153.84,4.64,4.87,Dussehra,Organic Search,Medium,Meesho,South,Karnataka,Bengaluru,UPI,3808,3308824.1,-187044.61
Home & Kitchen,Kitchen Appliances,2686.4,1350.04,15.98,7103.43,250.26,12.45,4.3,Regular Season,Email Marketing,Low,Amazon,South,Karnataka,Bengaluru,UPI,989,2232285.03,585519.81
Home & Kitchen,Storage,3778.94,2328.15,7.02,36892.19,91.78,9.37,4.83,Regular Season,Social Media,High,Flipkart,North,Delhi,New Delhi,COD,882,3099046.72,875882.21
Beauty & Personal Care,Grooming,397.6,121.77,28.35,10838.96,348.62,3.56,4.72,Dussehra,Influencer,Medium,Amazon,East,West Bengal,Kolkata,UPI,3319,945518.05,-650738.14
Sports & Fitness,Supplements,1776.36,715.91,20.43,24988.41,143.63,3.08,3.82,Regular Season,Search Ads,Low,Flipkart,East,West Bengal,Kolkata,Debit Card,1347,1903916.68,710723.11
Electronics,Smartphones,14427.34,12107.06,44.38,37087.1,114.89,6.03,2.57,Regular Season,Affiliate,Medium,Amazon,North,Delhi,New Delhi,COD,362,2904864.12,-1623892.87
Beauty & Personal Care,Haircare,2048.61,808.18,52.97,38906.63,292.81,2.3,4.34,Christmas,Affiliate,Medium,Myntra,East,West Bengal,Kolkata,Credit Card,3517,3388493.33,-550781.6
Beauty & Personal Care,Makeup,2131.54,683.79,49.05,2967.82,330.81,3.17,2.83,Dussehra,Influencer,Medium,Snapdeal,Central,Rajasthan,Jaipur,UPI,1067,1158782.95,61860.18
Beauty & Personal Care,Grooming,2736.39,1335.22,35.09,30123.46,252.23,3.88,2.83,Eid,Influencer,Medium,Amazon,East,West Bengal,Kolkata,UPI,1058,1879209.81,150684.35
Home & Kitchen,Cookware,506.04,234.0,16.92,3600.42,296.56,6.18,3.22,Diwali,Search Ads,Medium,Flipkart,South,Karnataka,Bengaluru,Debit Card,1335,561258.07,-167699.92
Automotive,Riding Gear,5385.73,2866.51,45.32,5345.5,309.43,9.34,4.02,Navratri,Search Ads,Medium,Flipkart,North,Delhi,New Delhi,UPI,1564,4605850.44,-493948.84
Fashion,Handbags,4321.98,1913.7,53.99,6251.81,126.07,21.84,4.79,Republic Day,Affiliate,Medium,Meesho,South,Karnataka,Bengaluru,Credit Card,1320,2624876.76,-229967.87
Books,Competitive Exams,1489.16,725.94,52.43,23354.39,95.68,2.95,2.85,Raksha Bandhan,Affiliate,Medium,Flipkart,East,West Bengal,Kolkata,Credit Card,1534,1086675.49,-207421.62
Electronics,Laptops,12011.78,9328.15,54.05,29272.6,45.99,4.54,4.25,Regular Season,Affiliate,Low,Flipkart,North,Delhi,New Delhi,UPI,1492,8234964.06,-5940047.79
Sports & Fitness,Gym Equipment,1815.23,1229.9,20.46,24735.11,166.55,10.37,3.43,Independence Day,Organic Search,Medium,Amazon,East,West Bengal,Kolkata,COD,1102,1591105.0,-17171.9
Sports & Fitness,Gym Equipment,4763.95,2900.71,42.4,19869.49,212.21,4.64,4.34,Diwali,Organic Search,Medium,Amazon,South,Karnataka,Bengaluru,UPI,2796,7672322.42,-1159117.33
Books,Non-Fiction,558.79,249.89,52.78,6390.89,188.38,3.44,3.07,Eid,Affiliate,Low,Flipkart,East,West Bengal,Kolkata,UPI,2130,562023.16,-389361.8
Fashion,Women's Ethnic Wear,4323.23,2332.54,34.04,24935.86,73.81,15.21,4.01,Diwali,Organic Search,Low,Amazon,East,West Bengal,Kolkata,UPI,2457,7006387.36,837334.59
Beauty & Personal Care,Makeup,919.95,278.68,31.72,20383.84,143.98,3.45,3.62,Republic Day,Social Media,Low,Amazon,South,Karnataka,Bengaluru,UPI,1949,1224248.49,370575.02
Automotive,Cleaning Care,883.29,492.49,10.26,23771.75,344.15,13.7,4.78,Regular Season,Search Ads,High,Amazon,Central,Rajasthan,Jaipur,UPI,1020,808517.73,-109877.72
Electronics,Smartwatches,9327.65,6306.7,11.52,17310.88,162.66,7.78,3.25,Holi,Organic Search,Medium,Amazon,North,Delhi,New Delhi,Net Banking,503,4151311.67,815029.34
Sports & Fitness,Cycles,5812.63,3101.58,50.33,39461.71,209.82,9.56,3.18,Republic Day,Affiliate,Low,Flipkart,East,West Bengal,Kolkata,Credit Card,1457,4206553.25,-780235.24
Books,Fiction,783.23,389.07,9.97,1624.42,97.54,1.88,4.08,Navratri,Affiliate,High,Amazon,West,Maharashtra,Mumbai,Credit Card,1043,735463.07,223440.86
Toys & Games,Educational Toys,3582.9,2212.69,6.96,8746.35,63.93,10.67,2.62,Christmas,Email Marketing,Medium,Flipkart,South,Karnataka,Bengaluru,UPI,442,1473420.33,430812.04
Automotive,Riding Gear,3856.12,2250.87,13.27,10791.71,103.22,14.07,3.21,Regular Season,Search Ads,Medium,Amazon,West,Maharashtra,Mumbai,UPI,506,1692272.92,446575.12
Books,Fiction,1231.8,680.56,19.94,6852.08,52.51,5.6,2.57,Christmas,Influencer,Low,Amazon,East,West Bengal,Kolkata,Credit Card,765,754427.0,178362.81
Automotive,Car Accessories,5876.32,3441.79,30.87,17943.92,158.86,12.34,2.74,Raksha Bandhan,Influencer,Medium,Amazon,East,West Bengal,Kolkata,UPI,660,2681118.01,210197.71
Sports & Fitness,Yoga Mats,2424.28,1209.0,42.96,16708.6,280.41,5.47,3.31,Independence Day,Social Media,Low,Flipkart,East,West Bengal,Kolkata,Credit Card,1294,1789355.25,-185967.65
Beauty & Personal Care,Haircare,513.84,255.56,45.24,19211.22,134.16,5.44,2.55,Republic Day,Email Marketing,Medium,Amazon,North,Delhi,New Delhi,Debit Card,1303,366636.56,-169663.39
Toys & Games,Board Games,2037.79,1236.0,30.28,12071.08,217.03,11.35,4.21,Regular Season,Email Marketing,Low,Amazon,South,Karnataka,Bengaluru,UPI,1125,1598340.59,-101700.69
Fashion,Footwear,2949.32,1164.51,45.63,28852.5,271.23,20.27,3.87,Dussehra,Influencer,High,Amazon,South,Karnataka,Bengaluru,UPI,1791,2871949.6,116764.0
Electronics,Accessories,7702.13,6453.42,7.12,13904.28,322.57,6.42,2.86,Raksha Bandhan,Influencer,Medium,Snapdeal,East,West Bengal,Kolkata,Credit Card,329,2353579.92,72891.34
Fashion,Footwear,3872.55,1636.81,7.71,20006.9,345.34,23.15,4.24,Independence Day,Email Marketing,High,Meesho,West,Maharashtra,Mumbai,COD,818,2923512.69,1171919.64
Fashion,Handbags,2165.57,950.7,11.62,35013.81,92.98,23.76,3.41,Diwali,Influencer,Low,Meesho,South,Karnataka,Bengaluru,UPI,1673,3202006.17,1307958.77
Books,Fiction,1167.62,532.54,50.06,27093.15,73.83,3.77,4.45,Holi,Organic Search,Low,Amazon,Central,Rajasthan,Jaipur,UPI,4718,2751110.28,-167083.09
Automotive,Car Electronics,4316.68,2092.71,43.36,37883.99,78.63,3.19,4.41,Republic Day,Influencer,Medium,Flipkart,Central,Rajasthan,Jaipur,Credit Card,2026,4953504.26,480131.88
Electronics,Headphones,11323.89,9218.78,37.69,23191.21,105.14,9.38,3.97,Diwali,Social Media,Medium,Amazon,West,Maharashtra,Mumbai,Debit Card,1991,14048328.48,-4979020.36
Electronics,Smartphones,8155.78,5757.54,46.97,27485.12,292.82,4.27,2.9,Independence Day,Affiliate,Medium,Flipkart,East,West Bengal,Kolkata,Credit Card,834,3607058.45,-1522899.92
Sports & Fitness,Supplements,1937.12,1234.87,17.33,8004.38,207.55,5.12,3.88,Diwali,Influencer,High,Myntra,West,Maharashtra,Mumbai,UPI,1391,2227571.19,183783.2
Sports & Fitness,Cycles,2470.38,1242.17,46.52,29504.97,56.95,7.98,2.88,Eid,Organic Search,Medium,Flipkart,Central,Rajasthan,Jaipur,Net Banking,1561,2062329.55,-37332.4
Electronics,Accessories,4846.16,4082.47,49.52,33399.38,177.25,11.07,3.48,Raksha Bandhan,Social Media,Low,Amazon,North,Delhi,New Delhi,UPI,1626,3977751.39,-3181614.36
Toys & Games,Puzzles,2840.64,1960.15,50.2,35231.28,290.36,8.86,3.39,Independence Day,Organic Search,Medium,Amazon,North,Delhi,New Delhi,Debit Card,1770,2503910.53,-1614339.53
Home & Kitchen,Kitchen Appliances,3717.23,1834.21,46.43,22161.99,290.62,6.28,2.66,Raksha Bandhan,Affiliate,Low,Flipkart,West,Maharashtra,Mumbai,Credit Card,905,1802144.7,-177308.36
Sports & Fitness,Gym Equipment,548.96,281.91,28.88,25088.97,163.7,9.36,3.93,Navratri,Search Ads,High,Myntra,Central,Rajasthan,Jaipur,Credit Card,2201,859315.19,-177942.93
Home & Kitchen,Bedding,2026.71,964.85,25.93,16682.22,275.59,8.39,4.38,Holi,Affiliate,Low,Flipkart,East,West Bengal,Kolkata,Credit Card,2389,3586328.81,530268.27
Books,Children Books,1413.16,808.88,26.35,19860.39,49.96,3.53,3.4,Raksha Bandhan,Social Media,Low,Snapdeal,North,Delhi,New Delhi,Credit Card,1676,1744367.96,271649.94
Toys & Games,Dolls,2410.22,1193.6,41.68,24943.27,293.65,7.9,2.73,Holi,Affiliate,Medium,Snapdeal,Central,Rajasthan,Jaipur,UPI,1047,1471705.4,-147214.52
Electronics,Laptops,13223.17,8854.7,5.95,1171.95,59.53,3.08,3.2,Diwali,Influencer,Low,Amazon,Central,Rajasthan,Jaipur,Credit Card,493,6131140.95,1701188.32
